old,new,oldupper
qid419_1,heal33,QID419_1
qid420_1,baby33,QID420_1
qid421_1,love33,QID421_1
qid1410_1,achi33,QID1410_1
qid1411_1,visi33,QID1411_1
qid1412,like33,QID1412
qid425,play34,QID425
qid426,uhoh34,QID426
qid427_1,danc34,QID427_1
qid428_1,heal34,QID428_1
qid429_1,baby34,QID429_1
qid430_1,love34,QID430_1
qid1413_1,achi34,QID1413_1
qid1414_1,visi34,QID1414_1
qid1415,like34,QID1415
qid434,play35,QID434
qid435,uhoh35,QID435
qid436_1,danc35,QID436_1
qid437_1,heal35,QID437_1
qid438_1,baby35,QID438_1
qid439_1,love35,QID439_1
qid1416_1,achi35,QID1416_1
qid1417_1,visi35,QID1417_1
qid1418,like35,QID1418
qid443,play36,QID443
qid444,uhoh36,QID444
qid445_1,danc36,QID445_1
qid446_1,heal36,QID446_1
qid447_1,baby36,QID447_1
qid448_1,love36,QID448_1
qid1419_1,achi36,QID1419_1
qid1420_1,visi36,QID1420_1
qid1421,like36,QID1421
qid452,play37,QID452
qid453,uhoh37,QID453
qid454_1,danc37,QID454_1
qid455_1,heal37,QID455_1
qid456_1,baby37,QID456_1
qid457_1,love37,QID457_1
qid1422_1,achi37,QID1422_1
qid1423_1,visi37,QID1423_1
qid1424,like37,QID1424
qid461,play38,QID461
qid462,uhoh38,QID462
qid463_1,danc38,QID463_1
qid464_1,heal38,QID464_1
qid465_1,baby38,QID465_1
qid466_1,love38,QID466_1
qid1425_1,achi38,QID1425_1
qid1426_1,visi38,QID1426_1
qid1427,like38,QID1427
qid470,play39,QID470
qid471,uhoh39,QID471
qid472_1,danc39,QID472_1
qid473_1,heal39,QID473_1
qid474_1,baby39,QID474_1
qid475_1,love39,QID475_1
qid1428_1,achi39,QID1428_1
qid1429_1,visi39,QID1429_1
qid1430,like39,QID1430
qid479,play40,QID479
qid480,uhoh40,QID480
qid481_1,danc40,QID481_1
qid482_1,heal40,QID482_1
qid483_1,baby40,QID483_1
qid484_1,love40,QID484_1
qid1431_1,achi40,QID1431_1
qid1432_1,visi40,QID1432_1
qid1433,like40,QID1433
qid488,play41,QID488
qid489,uhoh41,QID489
qid490_1,danc41,QID490_1
qid491_1,heal41,QID491_1
qid492_1,baby41,QID492_1
qid493_1,love41,QID493_1
qid1434_1,achi41,QID1434_1
qid1435_1,visi41,QID1435_1
qid1436,like41,QID1436
qid497,play42,QID497
qid498,uhoh42,QID498
qid499_1,danc42,QID499_1
qid500_1,heal42,QID500_1
qid501_1,baby42,QID501_1
qid502_1,love42,QID502_1
qid1437_1,achi42,QID1437_1
qid1438_1,visi42,QID1438_1
qid1439,like42,QID1439
qid506,play43,QID506
qid507,uhoh43,QID507
qid508_1,danc43,QID508_1
qid509_1,heal43,QID509_1
qid510_1,baby43,QID510_1
qid511_1,love43,QID511_1
qid1440_1,achi43,QID1440_1
qid1441_1,visi43,QID1441_1
qid1442,like43,QID1442
qid515,play44,QID515
qid516,uhoh44,QID516
qid517_1,danc44,QID517_1
qid518_1,heal44,QID518_1
qid519_1,baby44,QID519_1
qid520_1,love44,QID520_1
qid1443_1,achi44,QID1443_1
qid1444_1,visi44,QID1444_1
qid1445,like44,QID1445
qid524,play45,QID524
qid525,uhoh45,QID525
qid526_1,danc45,QID526_1
qid527_1,heal45,QID527_1
qid528_1,baby45,QID528_1
qid529_1,love45,QID529_1
qid1446_1,achi45,QID1446_1
qid1447_1,visi45,QID1447_1
qid1448,like45,QID1448
qid533,play46,QID533
qid534,uhoh46,QID534
qid535_1,danc46,QID535_1
qid536_1,heal46,QID536_1
qid537_1,baby46,QID537_1
qid538_1,love46,QID538_1
qid1449_1,achi46,QID1449_1
qid1450_1,visi46,QID1450_1
qid1451,like46,QID1451
qid542,play47,QID542
qid543,uhoh47,QID543
qid544_1,danc47,QID544_1
qid545_1,heal47,QID545_1
qid546_1,baby47,QID546_1
qid547_1,love47,QID547_1
qid1452_1,achi47,QID1452_1
qid1453_1,visi47,QID1453_1
qid1454,like47,QID1454
qid551,play48,QID551
qid552,uhoh48,QID552
qid553_1,danc48,QID553_1
qid554_1,heal48,QID554_1
qid555_1,baby48,QID555_1
qid556_1,love48,QID556_1
qid1455_1,achi48,QID1455_1
qid1456_1,visi48,QID1456_1
qid1457,like48,QID1457
qid560,play49,QID560
qid561,uhoh49,QID561
qid562_1,danc49,QID562_1
qid563_1,heal49,QID563_1
qid564_1,baby49,QID564_1
qid565_1,love49,QID565_1
qid1458_1,achi49,QID1458_1
qid1459_1,visi49,QID1459_1
qid1460,like49,QID1460
qid569,play50,QID569
qid570,uhoh50,QID570
qid571_1,danc50,QID571_1
qid572_1,heal50,QID572_1
qid573_1,baby50,QID573_1
qid574_1,love50,QID574_1
qid1461_1,achi50,QID1461_1
qid1462_1,visi50,QID1462_1
qid1463,like50,QID1463
qid578,play51,QID578
qid579,uhoh51,QID579
qid580_1,danc51,QID580_1
qid581_1,heal51,QID581_1
qid582_1,baby51,QID582_1
qid583_1,love51,QID583_1
qid1464_1,achi51,QID1464_1
qid1465_1,visi51,QID1465_1
qid1466,like51,QID1466
qid587,play52,QID587
qid588,uhoh52,QID588
qid589_1,danc52,QID589_1
qid590_1,heal52,QID590_1
qid591_1,baby52,QID591_1
qid592_1,love52,QID592_1
qid1467_1,achi52,QID1467_1
qid1468_1,visi52,QID1468_1
qid1469,like52,QID1469
qid596,play53,QID596
qid597,uhoh53,QID597
qid598_1,danc53,QID598_1
qid599_1,heal53,QID599_1
qid600_1,baby53,QID600_1
qid601_1,love53,QID601_1
qid1470_1,achi53,QID1470_1
qid1471_1,visi53,QID1471_1
qid1472,like53,QID1472
qid605,play54,QID605
qid606,uhoh54,QID606
qid607_1,danc54,QID607_1
qid608_1,heal54,QID608_1
qid609_1,baby54,QID609_1
qid610_1,love54,QID610_1
qid1473_1,achi54,QID1473_1
qid1474_1,visi54,QID1474_1
qid1475,like54,QID1475
qid614,play55,QID614
qid615,uhoh55,QID615
qid616_1,danc55,QID616_1
qid617_1,heal55,QID617_1
qid618_1,baby55,QID618_1
qid619_1,love55,QID619_1
qid1476_1,achi55,QID1476_1
qid1477_1,visi55,QID1477_1
qid1478,like55,QID1478
qid623,play56,QID623
qid624,uhoh56,QID624
qid625_1,danc56,QID625_1
qid626_1,heal56,QID626_1
qid627_1,baby56,QID627_1
qid628_1,love56,QID628_1
qid1479_1,achi56,QID1479_1
qid1480_1,visi56,QID1480_1
qid1481,like56,QID1481
qid632,play57,QID632
qid633,uhoh57,QID633
qid634_1,danc57,QID634_1
qid635_1,heal57,QID635_1
qid636_1,baby57,QID636_1
qid637_1,love57,QID637_1
qid1482_1,achi57,QID1482_1
qid1483_1,visi57,QID1483_1
qid1484,like57,QID1484
qid650,play58,QID650
qid651,uhoh58,QID651
qid652_1,danc58,QID652_1
qid653_1,heal58,QID653_1
qid654_1,baby58,QID654_1
qid655_1,love58,QID655_1
qid1485_1,achi58,QID1485_1
qid1486_1,visi58,QID1486_1
qid1487,like58,QID1487
qid641,play59,QID641
qid642,uhoh59,QID642
qid643_1,danc59,QID643_1
qid644_1,heal59,QID644_1
qid645_1,baby59,QID645_1
qid646_1,love59,QID646_1
