id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
dogo1294,atla1278,dogo1293,Dogoso,FALSE,language,vulnerable,10.0489,-4.35805,dgs,,,0,0,0,BF CI
dogo1295,atla1278,dogo1300,Dogosé,FALSE,language,safe,10.1899,-4.1493,dos,,,0,0,6,BF CI
dogo1296,cent2225,keli1248,Dogo,FALSE,dialect,safe,,,,,,0,0,0,
dogo1297,heib1242,otor1240,Dogoridi,FALSE,dialect,safe,,,,,,0,0,0,
dogo1299,,,Dogon,FALSE,family,safe,,,,,,8,20,18,
dogo1300,atla1278,gand1254,Dogose-Khisa,FALSE,family,safe,,,,,,0,2,6,
dogr1250,indo1319,indo1311,Dogri,FALSE,language,safe,32.5534,75.7111,dgo,,,0,0,5,IN PK
dogr1251,indo1319,vasa1239,Dogri (Vasavi),FALSE,dialect,safe,,,,,,0,0,0,
dogr1252,atha1245,hare1243,Dogrib,FALSE,language,definitely endangered,62.3823,-114.193,dgr,,,0,0,0,CA
dogu1235,dogo1299,nort2824,Dogul Dom Dogon,FALSE,language,vulnerable,14.5872,-3.56855,dbg,,,0,0,0,ML
doho1239,aust1307,otda1235,Dohoi,FALSE,dialect,safe,,,,,,0,0,0,
dohu1239,afro1255,lish1247,Dohuk,FALSE,dialect,safe,,,,,,0,0,0,
doii1241,aust1305,tail1246,Doi,FALSE,dialect,safe,,,,,,0,0,0,
doii1242,aust1307,ledo1238,Doi (Indonesia),FALSE,dialect,safe,,,,,,0,0,0,
doka1242,atla1278,nort3169,Doka,FALSE,language,vulnerable,10.2287,7.96099,dbi,,,0,0,0,NG
doka1243,cent2225,logo1259,Doka (Congo),FALSE,dialect,safe,,,,,,0,0,0,
doka1247,afro1255,mish1244,Doka (Nigeria),FALSE,dialect,safe,,,,,,0,0,0,
doko1243,atla1278,agoi1245,Doko-Uyanga,FALSE,language,definitely endangered,5.39961,8.26925,uya,,,0,0,0,NG
doko1244,atla1278,ngom1268,Doko (Democratic Republic of Congo),FALSE,dialect,safe,,,,,,0,0,0,
dolg1241,turk1311,nort2688,Dolgan,FALSE,language,definitely endangered,71.1083,94.2936,dlg,,,0,0,0,RU
doli1238,atla1278,wali1263,'Dolimi,FALSE,dialect,safe,,,,,,0,0,0,
doli1242,afro1255,muku1242,Doliki,FALSE,dialect,safe,,,,,,0,0,0,
dolk1238,sino1245,newa1246,Dolkhali,FALSE,dialect,safe,,,,,,0,0,0,
dolo1238,utoa1244,sant1424,Dolores Cora,FALSE,dialect,safe,,,,,,0,0,0,
dolp1238,sino1245,sout3216,Dolpo-Tichurong,FALSE,family,safe,,,,,,0,2,0,
dolp1239,sino1245,dolp1238,Dolpo,FALSE,language,definitely endangered,29.1957,83.2927,dre,,,0,0,0,CN NP
doma1258,indo1319,indo1322,Domari,FALSE,language,severely endangered,32,35,rmt,,,0,0,19,EG IL JO PS SY
doma1259,indo1319,doma1258,Domaki,FALSE,dialect,safe,,,,,,0,0,0,
doma1260,indo1319,indo1322,Domaaki,FALSE,language,severely endangered,36.3258,74.7984,dmk,,,0,0,0,PK
doma1261,atla1278,alag1242,Doma,FALSE,dialect,safe,,,,,,0,0,0,
doma1262,mail1249,mail1248,Domara,FALSE,dialect,safe,,,,,,0,0,0,
doma1263,yare1250,anem1248,Doma (Papua New Guinea),FALSE,dialect,safe,,,,,,0,0,0,
domb1240,sout1516,aran1237,Dombano,FALSE,dialect,safe,,,,,,0,0,0,
domb1245,atla1278,many1258,Domba,FALSE,dialect,safe,,,,,,0,0,0,
domb1246,atla1278,cent2279,Toka-Leya-Dombe,FALSE,language,definitely endangered,-18.37,26.502,dov,,,0,0,3,ZW
domb1247,atla1278,domb1246,Dombe,FALSE,dialect,safe,,,,,,0,0,0,
